rank,rank_status,album_name,artist_name,sales,distribution
46,new,The 8th Mini Album `The Nocturne`,NU`EST  ,193509,Stone Music Entertainment
47,new,TREASURE EPILOGUE : Action To Answer,ATEEZ         ,179796,Stone Music Entertainment
48,new,NCT RESONANCE Pt. 1 - The 2nd Album   KiT  ,NCT,175747,Dreamus
49,new,LOVE YOURSELF 結 `Answer`,BTS,169952,"Dreamus, The Orchard"
50,new,TRAVEL,Mamamoo  ,169850,Kakao Entertainment
51,new,LOVE YOURSELF 轉 `Tear`,BTS,167679,Dreamus
52,new,HIDEOUT: THE NEW DAY WE STEP INTO - SEASON 2.,CRAVITY,166644,Kakao Entertainment
53,new,HIDEOUT: REMEMBER WHO WE ARE - SEASON1.,CRAVITY,154360,Kakao Entertainment
54,new,I trust,GIDLE,154016,Kakao Entertainment
55,new,Never Gonna Dance Again : Act 1 - The 3rd Album,TAEMIN  ,153926,Dreamus
56,new,IT'z ME,ITZY       ,153037,Dreamus
57,new,                 When We Were Us   - The 1st Mini Album,Super Junior-K.R.Y.  ,151153,Dreamus
58,new,LOVE YOURSELF 承 `Her`,BTS,150656,Dreamus
59,new,1ST MINI ALBUM Part. 1 [Love Synonym #1 : Right for Me],WONHO  ,146068,Kakao Entertainment
60,new,NCT RESONANCE Pt. 2 - The 2nd Album   KiT  ,NCT,145146,Dreamus
61,new,EQUAL,WOODZ        ,143791,Stone Music Entertainment
62,new,VIVID,AB6IX          ,139900,Warner Music
63,new,       DUMDi DUMDi  ,GIDLE,124815,Kakao Entertainment
64,new,     Young Forever,BTS,123591,Dreamus
65,new,Never Gonna Dance Again : Act 2 - The 3rd Album,TAEMIN  ,123441,Dreamus
66,new,REVEAL,THE BOYZ  ,121621,Kakao Entertainment
67,new,TIMELESS - The 9th Album Repackage,Super Junior  ,121293,Dreamus
68,new,WINGS,BTS,119148,Dreamus
69,new,FIRST COLLECTION,SF9           ,117785,Kakao Entertainment
70,new,1ST DESIRE [GREED],kimusol,117570,Kakao Entertainment
71,new,[12:00],benyuesonyeo,114503,Kakao Entertainment
72,new,Remember,WINNER  ,114466,YG PLUS
73,new,aeyo,kimjaechong,114286,Kakao Entertainment
74,new,YOU NEVER WALK ALONE,BTS,113191,Dreamus
75,new,WE:TH,PENTAGON  ,110801,Kakao Entertainment
76,new,Chocolate - The 1st Mini Album,MAX CHANGMIN  ,109203,Dreamus
77,new,LIVED,ONEUS,108862,Kakao Entertainment
78,new,Awaken The World - The 1st Album,WayV,107773,Dreamus
79,new,SALUTE,AB6IX,106682,Warner Music
80,new,9loryUS,SF9,105874,Kakao Entertainment
81,new,Neverland,wujusonyeo,105056,Kakao Entertainment
82,new,5th Mini Album [Dystopia : Lose Myself],dreamchatcher,99746,planet
83,new,What Do I Call You - The 4th Mini Album,TAEYEON,99065,Dreamus
84,new,2nd Single Album [Pump It Up],golden child,98239,Kakao Entertainment
85,new,KILL THIS LOVE,BLACKPINK,98035,YG PLUS
86,new,7th Mini Album [GATEWAY],ASTRO,97991,Kakao Entertainment
87,new,TAKE,MINO,97577,YG PLUS
88,new,花样年华pt.2,BTS,97139,Dreamus
89,new,Mayday,VICTON ,95850,Kakao Entertainment
90,new,Continuous,VICTON ,95709,Kakao Entertainment
91,new,WOOPS!,WOODZ,95531,Stone Music Entertainment
92,new,回:Song of the Sirens,GFRIEND,90242,Kakao Entertainment
93,new,3RD ALBUM `An Ode`,SEVENTEEN,89260,Stone Music Entertainment
94,new,Fame,hansungwu,86063,Kakao Entertainment
95,new,The Book of Us : The Demon,DAY6,85898,Dreamus
96,new,SPIT IT OUT,solla,84951,Kakao Entertainment
97,new,The W,pakjihun,84769,NHN  
98,new,Skool Luv Affair,BTS,84755,Dreamus
99,new,花样年华pt.1,solla,84641,Dreamus
100,new,回:LABYRINTH,GFRIEND,82760,Kakao Entertainment
